Student_ID,Name,Gender,Class,OSY,STE,ACN,DAN,Total,Percentage,Attendance,Status,Grade
101,Lucky,Male,TY,78.0,75.0,80.0,80.0,313.0,78.25,72%,,B
102,Aria,Female,TY,88.0,82.0,85.0,85.0,340.0,85.0,97%,,A
103,Ethan,Male,TY,65.0,70.0,68.0,72.0,275.0,68.75,74%,,C
104,Ruby,Female,TY,90.0,90.0,84.0,88.0,352.0,88.0,95%,,A
105,Ryan,Male,TY,55.0,60.0,58.0,65.0,238.0,59.5,69%,,D
106,Emily,Female,TY,82.0,88.0,84.0,90.0,344.0,86.0,85%,,A
107,Charlie,Male,TY,74.0,76.0,72.0,80.0,302.0,75.5,89%,,B
108,Eila,Female,TY,91.0,85.0,93.0,87.0,356.0,89.0,98%,,A
109,James,Male,TY,60.0,65.0,62.0,70.0,257.0,64.25,70%,,C
110,Alica,Female,TY,86.0,92.0,90.0,91.0,359.0,89.75,95%,,A
111,Sophia,Female,TY,60.0,68.0,75.0,66.0,269.0,67.25,74%,,C
112,Henry,Male,TY,90.0,95.0,96.0,94.0,375.0,93.75,95%,,A+
113,Jack,Male,TY,89.0,92.0,93.0,92.0,366.0,91.5,96%,,A+
114,Leo,Male,TY,75.0,77.0,78.0,79.0,309.0,77.25,80%,,B
115,John,Male,TY,80.0,75.0,88.0,86.0,329.0,82.25,79%,,A
116,Lily,Female,TY,70.0,76.0,73.0,78.0,297.0,74.25,70%,,B
117,Alisa,Female,TY,86.0,73.0,70.0,75.0,304.0,76.0,85.0,Eligible,B+
